spk_id,scrape_prof,assigned_category,is_assigned
id00012,actor,Actors,1
id00015,south_african_politician,Politicians,1
id00016,footballer,Athletes,1
id00017,unk,unk,0
id00018,politician,Politicians,1
id00019,actor,Actors,1
id00020,actor,Actors,1
id00021,singer,Singers and musicians,1
id00022,actor_actress_model_model,Actors,1
id00024,english_model,Actors,1
id00025,actress,Actors,1
id00026,algerian_politician,Politicians,1
id00027,politician_ulama_religious_teacher,Politicians,1
id00028,weapons_of_mass_destruction_pakistan_s_nuclear_weapons_program,,0
id00029,king_of_jordan_having_ascended_the_throne_on_february,Politicians,1
id00032,actor,Actors,1
id00033,shooting_sports_shooter_businessman,Other,1
id00035,alleged_links_with_terrorism,,0
id00036,indonesian_politician,Politicians,1
id00039,singer,Singers and musicians,1
id00040,coach_head_coach,Athletes,1
id00042,cryo_bio_crystallography,,0
id00043,actress,Actors,1
id00044,actor,Actors,1
id00046,unk,unk,0
id00047,industrial_law_industrial_lawyer,Other,1
id00049,musician_singer_songwriter,Singers and musicians,1
id00050,singer_songwriter_record_producer,Actors,1
id00051,australian_cricket_commentator,Media and TV personalities without acting,1
id00052,correspondent_former_television_senior_news_correspondent,Media and TV personalities without acting,1
id00053,actor_singer_rapper_dancer,Actors,1
id00055,midfielder_attacking_midfielder_attacking_midfielder,Athletes,1
id00056,cook_television_presenter_producer_author,Actors,1
id00058,polish_professional_football_manager,Athletes,1
id00059,actor,Actors,1
id00060,actor,Actors,1
id00061,actor_screenwriter_director,Actors,1
id00062,member_of_the_democratic_party,Politicians,1
id00063,american_model_actor,Actors,1
id00064,serving_as_the_fifth,,0
id00066,musician_rapper_songwriter_filmmaker,Actors,1
id00067,actress,Actors,1
id00068,actress,Actors,1
id00069,actress,Actors,1
id00070,attacking_midfielder,Athletes,1
id00071,actress,Actors,1
id00073,dutch_dressage_rider,,0
id00074,actor,Actors,1
id00075,actor,Actors,1
id00076,actor,Actors,1
id00078,actor_singer,Actors,1
id00079,centre_back,Athletes,1
id00080,actress,Actors,1
id00081,actor,Actors,1
id00082,actor,Actors,1
id00083,actor_voice_over_artist_television_producer,Actors,1
id00084,politician,Politicians,1
id00085,second_striker,Athletes,1
id00086,musician_singer_music_composer_concert_pianist_television_presenter_actor,Actors,1
id00087,engineer_aerodynamicist_automotive_designer_motorsport_executive,Other,1
id00088,actor,Actors,1
id00089,german_racing_driver_who_competed_in_formula_one,Athletes,1
id00090,actress,Actors,1
id00091,zulia_miss_zulia,,0
id00092,tv_personality,Media and TV personalities without acting,1
id00096,american_professional_boxer,Athletes,1
id00097,television_personality_singer_actress_entrepreneur,Actors,1
id00098,ambrosia_moore_ambrosia_amber_moore_in_the_bold,,0
id00099,american_actress,Actors,1
id00100,businesswoman,Other,1
id00103,actor_producer_model,Actors,1
id00104,actress,Actors,1
id00105,actress,Actors,1
id00109,actress,Actors,1
id00111,polish_former_professional_tennis_player,Athletes,1
id00114,actress,Actors,1
id00116,politician_businessman,Politicians,1
id00117,economist_banker_bureaucrat,Other,1
id00126,politician_banker,Politicians,1
id00127,defender_full_back_right_back,Athletes,1
id00128,former_pakistani_international_cricketer,Athletes,1
id00129,minister,Politicians,1
id00134,flat_list_actress_singer_comedian_television_personality,Actors,1
id00137,former_japanese_professional_golfer_who_competed_on_the_u,Athletes,1
id00144,american_athlete_actress,Actors,1
id00145,actress,Actors,1
id00146,actress_model,Actors,1
id00149,actress,Actors,1
id00151,defender_defender,Athletes,1
id00154,actor_producer_director,Actors,1
id00155,television_presenter_of_the_biggest_loser_the_biggest_loser,Media and TV personalities without acting,1
id00159,politician_civil_engineer,Politicians,1
id00161,chairman_of_toyota,Other,1
id00163,actor_film_producer_entrepreneur,Actors,1
id00164,norwegian_former_world_cup_alpine_ski_racer,Athletes,1
id00165,actor,Actors,1
id00166,unk,unk,0
id00167,singer_actor_winemaker,Actors,1
id00168,politician,Politicians,1
id00169,defensive_coordinator,,0
id00170,singer_songwriter,Singers and musicians,1
id00171,english_comedian,Actors,1
id00172,journalist_television_personality_weather_presenter_actor_author,Actors,1
id00173,baptist_minister_minister,Politicians,1
id00175,french_essayist_radio_producer,Actors,1
id00176,french_politician,Politicians,1
id00177,businessperson_businessman,Other,1
id00179,defenceman_defence,,0
id00180,actress,Actors,1
id00181,english_comedian_broadcaster_writer,Actors,1
id00183,right_back,Athletes,1
id00184,former_president,Politicians,1
id00185,manager,Athletes,1
id00186,football_pundit,Media and TV personalities without acting,1
id00187,business_magnate_media_personality_author_politician_political_advisor,Politicians,1
id00188,unk,unk,0
id00189,american_paralympic_wheelchair_basketball_player,Athletes,1
id00190,actress,Actors,1
id00191,ivorian_politician,Politicians,1
id00192,english_commentator,Media and TV personalities without acting,1
id00195,first_baseman_designated_hitter,,0
id00197,polish_former_professional_boxer_who_competed,Athletes,1
id00198,mexican_professional_wrestler_professional_wrestling_promoter_sports_commentator,Media and TV personalities without acting,1
id00201,italian_football_manager,Athletes,1
id00202,as_president_of_the_people_s_party,Politicians,1
id00203,spanish_politician,Politicians,1
id00206,brazilian_politician,Politicians,1
id00220,model,Actors,1
id00221,singer_songwriter,Singers and musicians,1
id00222,striker_striker,Athletes,1
id00223,serbian_politician_serving_as_president_of_serbia_since,Politicians,1
id00225,polish_politician,Politicians,1
id00231,singer_songwriter,Singers and musicians,1
id00232,russian_former_snowboarder_specializing_in_parallel_slalom,Athletes,1
id00234,singer_rapper_songwriter_dancer_television_personality_author,Singers and musicians,1
id00235,model,Actors,1
id00236,singer,Singers and musicians,1
id00238,actress,Actors,1
id00239,politician_actress,Actors,1
id00241,second_striker,Athletes,1
id00242,centre_back,Athletes,1
id00243,actor,Actors,1
id00244,italian_business_executive,Other,1
id00245,singer,Singers and musicians,1
id00246,fashion_designer,,0
id00249,actor,Actors,1
id00251,actress_producer,Actors,1
id00253,shortstop_second_baseman_manager_manager,Athletes,1
id00254,singer_songwriter,Singers and musicians,1
id00255,forward_forward,Athletes,1
id00257,singer_musician_songwriter,Singers and musicians,1
id00258,film_director,Actors,1
id00259,actress_host_singer_youtuber_author_entrepreneur,Actors,1
id00261,actress,Actors,1
id00262,forward_striker_striker,Athletes,1
id00264,actor_writer_director_producer,Actors,1
id00265,english_professional_footballer_who_plays_as_a_midfielder,Athletes,1
id00266,scottish_politician_who_served_as_first_minister_of_scotland,Politicians,1
id00268,singer_musician_songwriter,Singers and musicians,1
id00269,writer,Other,1
id00270,model_television_presenter,Actors,1
id00271,singer_songwriter_pianist,Singers and musicians,1
id00272,actress,Actors,1
id00274,politician,Politicians,1
id00275,actor,Actors,1
id00276,german_european_space_agency_astronaut,,0
id00277,singer,Singers and musicians,1
id00279,footballer,Athletes,1
id00281,film_director_screenwriter_producer,Actors,1
id00282,actor,Actors,1
id00283,ukrainian_retired_professional_tennis_player,Athletes,1
id00285,german_model,Actors,1
id00286,actress,Actors,1
id00287,actress,Actors,1
id00288,actress,Actors,1
id00289,actress,Actors,1
id00290,actress,Actors,1
id00291,actress_comedienne_author_producer,Actors,1
id00292,canadian_retired_freestyle_skier,Athletes,1
id00296,russian_liberal_politician,Politicians,1
id00297,actress_model,Actors,1
id00298,actor_politician,Actors,1
id00299,singer_actress,Actors,1
id00300,forward_winger,Athletes,1
id00301,pornographic_film_actress,Actors,1
id00302,politician_civil_engineer,Politicians,1
id00303,un_rey_en_la_habana_los_peque_os_fugitivos,,0
id00304,musician,Singers and musicians,1
id00305,actor,Actors,1
id00306,english_actor,Actors,1
id00309,actor_producer,Actors,1
id00311,entertainment_entertainer_television_presenter_television_producer,Actors,1
id00312,austrian_comedian_writer,Actors,1
id00313,dutch_football_coach,Athletes,1
id00314,minister,Politicians,1
id00316,lithuanian_politician,Politicians,1
id00317,lithuanian_economist,,0
id00318,appointed_to_the_post_for_a_second_time_on_august,,0
id00319,actress,Actors,1
id00320,right_back,Athletes,1
id00322,mineral_resources,,0
id00323,actress_singer_painter,Actors,1
id00324,politician,Politicians,1
id00325,english_television_presenter,Media and TV personalities without acting,1
id00328,musician,Singers and musicians,1
id00329,actress,Actors,1
id00330,retired_american_artistic_gymnast,Athletes,1
id00331,spanish_lawyer,Other,1
id00332,actress,Actors,1
id00336,model,Actors,1
id00341,actress_model,Actors,1
id00342,inactive_american_tennis_player,Athletes,1
id00343,american_former_competitive_figure_skater,,0
id00344,singer,Singers and musicians,1
id00345,british_born_dutch_former_professional_mixed_martial_artist,,0
id00346,playback_singer,Singers and musicians,1
id00347,singer_songwriter_actress,Actors,1
id00348,goalkeeper_goalkeeper,Athletes,1
id00350,actor_film_producer,Actors,1
id00351,director_of_versace_gianni_versace_s_p_a,Actors,1
id00352,actor,Actors,1
id00353,model,Actors,1
id00354,actress,Actors,1
id00355,american_dancer,,0
id00356,singing_singer,Singers and musicians,1
id00357,actress,Actors,1
id00358,striker_striker,Athletes,1
id00359,retired_american_track,,0
id00361,kyrgyzstani_politician_who_served_as_the_fourth_president_of_kyrgyzstan,Politicians,1
id00363,tier_one_entertainment_date_april,,0
id00365,actress_singer,Actors,1
id00366,actor,Actors,1
id00368,lock_lock,,0
id00371,american_middle_distance_runner,Athletes,1
id00372,actress,Actors,1
id00373,actress_television_presenter,Actors,1
id00374,actor_singer_dancer,Actors,1
id00376,actress,Actors,1
id00377,director_of_annapurna_college_of_film,Actors,1
id00378,actress_film_producer,Actors,1
id00379,american_swimmer,Athletes,1
id00380,tv_presenter,Media and TV personalities without acting,1
id00381,actress,Actors,1
id00383,writer_journalist,Media and TV personalities without acting,1
id00385,singer_songwriter_musician_performance_artist_author,Singers and musicians,1
id00386,actress,Actors,1
id00387,actress,Actors,1
id00388,actress,Actors,1
id00389,algerian_politician,Politicians,1
id00390,bosnian_professional_football_manager,Athletes,1
id00391,coach,Athletes,1
id00393,singer,Singers and musicians,1
id00395,actress,Actors,1
id00397,english_fashion_model,Actors,1
id00398,actress,Actors,1
id00399,model_actress,Actors,1
id00401,singer,Singers and musicians,1
id00402,model_actress_author_singer,Actors,1
id00403,singer_rapper,Singers and musicians,1
id00405,actress,Actors,1
id00406,singer_songwriter_actress_writer,Actors,1
id00407,tattoo_artist,,0
id00409,indonesian_politician,Politicians,1
id00411,actress,Actors,1
id00412,actor,Actors,1
id00413,politician,Politicians,1
id00414,indian_classical_sarod_player_best_known_for_his_clear,,0
id00415,former_professional_squash_player,,0
id00416,actor_singer_producer,Actors,1
id00417,actress_producer,Actors,1
id00418,actress,Actors,1
id00419,actress,Actors,1
id00420,actress_producer,Actors,1
id00421,actress_screenwriter_director_singer,Actors,1
id00422,american_retired_professional_wrestler,Athletes,1
id00423,long_island_lolita_incident,,0
id00425,actress_writer,Actors,1
id00426,television_presenter_actress,Actors,1
id00427,business_executive,Other,1
id00428,american_television_reporter_formerly_for_abc_news,Media and TV personalities without acting,1
id00429,actress,Actors,1
id00430,writer,Other,1
id00431,host,Media and TV personalities without acting,1
id00432,presenter,Media and TV personalities without acting,1
id00434,french_former_professional_tennis_player_tennis_coach,Athletes,1
id00435,writer,Other,1
id00436,south_korean_television_personality,Media and TV personalities without acting,1
